SEQ_NAME	START	END	STRAND
chrI	5075	6237	-
chrI	9368	9600	+
chrI	28083	29772	-
chrI	31484	32748	-
chrI	33076	34380	-
chrI	43440	45328	+
chrI	68718	69486	+
chrI	191617	192201	-
chrI	198781	199902	+
chrII	45288	45464	-
chrII	46788	47132	+
chrII	126208	127560	-
chrII	164468	165004	+
chrII	166136	166952	-
chrII	169376	169928	-
chrII	170104	170456	-
chrII	196308	196732	+
chrII	235897	236217	-
chrII	238398	238894	+
chrII	241686	242790	+
chrII	246810	248538	-
chrII	251615	252103	+
chrII	254640	254874	+
chrII	255774	256278	-
chrII	269792	270208	+
chrII	276760	278816	+
chrII	301628	304756	-
chrII	362866	364594	+
chrII	370545	370873	+
chrII	371273	373730	+
chrII	430993	431841	-
chrII	453557	454701	+
chrII	474286	476894	+
chrII	532518	533198	+
chrII	539674	541026	-
chrII	553478	556206	+
chrII	590217	591393	-
chrII	601321	602217	-
chrII	602337	602377	-
chrII	697845	698445	+
chrII	741829	742005	+
chrII	785452	786476	+
chrII	786480	786873	-
chrII	789081	792586	-
chrII	792818	796570	-
chrII	798998	800430	+
chrII	799306	800066	-
chrIII	39569	41313	+
chrIII	50409	50793	+
chrIII	106258	106402	+
chrIII	113224	114280	-
chrIII	114564	115012	+
chrIII	115440	117288	-
chrIII	116396	117308	+
chrIII	123308	124068	+
chrIII	125244	126028	+
chrIII	157726	159262	+
chrIII	173646	175710	+
chrIII	176602	176946	-
chrIII	202702	204446	+
chrIII	205766	205942	+
chrIII	206830	208046	+
chrIII	223502	224214	+
chrIII	225274	227890	-
chrIII	242597	244125	+
chrIII	273093	274357	+
chrIII	298645	299525	+
chrIII	308297	309969	-
chrIV	59128	60696	+
chrIV	80712	82584	+
chrIV	134732	135492	-
chrIV	232253	234341	-
chrIV	312881	314161	+
chrIV	314921	316961	+
chrIV	320249	321009	+
chrIV	323785	324457	+
chrIV	330600	330992	+
chrIV	370935	371984	-
chrIV	381596	386508	+
chrIV	407604	408204	+
chrIV	411400	411568	-
chrIV	433312	434072	-
chrIV	443808	444200	-
chrIV	460580	460724	+
chrIV	470776	471536	-
chrIV	485485	486117	+
chrIV	488937	489225	-
chrIV	501461	501677	+
chrIV	506334	507774	+
chrIV	506546	507450	-
chrIV	542181	542525	+
chrIV	544045	544732	+
chrIV	544985	545969	-
chrIV	556741	557101	+
chrIV	575098	575858	-
chrIV	593226	593498	-
chrIV	598882	600282	-
chrIV	614199	616919	+
chrIV	621067	621651	-
chrIV	680215	680423	+
chrIV	718647	719791	+
chrIV	722295	726503	+
chrIV	831712	832752	+
chrIV	908501	909413	-
chrIV	910093	913773	-
chrIV	916061	916341	-
chrIV	924285	924541	-
chrIV	927525	927645	-
chrIV	957793	958601	+
chrIV	968033	969697	+
chrIV	977057	977313	+
chrIV	980069	980925	-
chrIV	1014361	1016881	+
chrIV	1018125	1019133	-
chrIV	1080801	1081049	+
chrIV	1102468	1103564	-
chrIV	1130854	1131350	-
chrIV	1140666	1140707	+
chrIV	1157363	1158995	+
chrIV	1162355	1165899	+
chrIV	1166659	1167027	+
chrIV	1174467	1174859	+
chrIV	1174615	1174823	-
chrIV	1183024	1183472	-
chrIV	1196549	1197701	+
chrIV	1234041	1236193	-
chrIV	1251065	1251457	-
chrIV	1259737	1260145	-
chrIV	1260577	1261393	-
chrIV	1266973	1267349	+
chrIV	1279177	1279945	-
chrIV	1291089	1292153	-
chrIV	1295765	1296701	+
chrIV	1338265	1339417	-
chrIV	1340737	1342217	-
chrIV	1353249	1353561	-
chrIV	1406093	1408125	+
chrIV	1410517	1411917	+
chrIV	1445773	1446157	+
chrIV	1451121	1452833	-
chrIV	1456077	1456685	+
chrIV	1459757	1460573	+
chrIV	1466213	1466381	+
chrIV	1476657	1477001	-
chrIV	1483733	1484317	+
chrIV	1487549	1488717	+
chrIV	1493657	1493953	-
chrIV	1500717	1501029	+
chrIV	1507402	1507498	-
chrIV	1508042	1509826	-
chrIV	1514051	1516443	-
chrIV	1514351	1515367	+
chrIV	1521109	1522269	+
chrIX	28493	28789	-
chrIX	30993	32601	+
chrIX	35105	37217	+
chrIX	35197	36013	-
chrIX	40209	41633	+
chrIX	44021	44445	-
chrIX	49501	49845	-
chrIX	51429	51613	-
chrIX	76329	76937	+
chrIX	132568	135304	-
chrIX	136420	137108	+
chrIX	150032	151352	-
chrIX	150228	150532	+
chrIX	154192	154904	-
chrIX	154904	155864	-
chrIX	173852	174716	+
chrIX	195384	196304	-
chrIX	202252	202852	+
chrIX	222868	224412	+
chrIX	224412	226492	+
chrIX	226704	228424	-
chrIX	281154	281258	+
chrIX	283090	284778	+
chrIX	289258	290386	+
chrIX	290426	292266	+
chrIX	321911	323479	-
chrIX	328059	331587	+
chrIX	333616	334680	-
chrIX	337188	339340	+
chrIX	357100	357468	+
chrIX	384180	384604	+
chrIX	387004	388452	+
chrIX	389244	393068	+
chrIX	406596	407844	+
chrIX	408336	410216	-
chrIX	412084	412724	+
chrIX	421044	421796	+
chrIX	424552	425368	-
chrIX	427345	429441	-
chrV	7713	8089	+
chrV	8413	9765	-
chrV	10501	11341	-
chrV	11545	11929	+
chrV	14693	15029	-
chrV	15773	15981	-
chrV	118097	118673	+
chrV	132677	135397	-
chrV	151206	151886	-
chrV	156110	156494	-
chrV	161494	162446	-
chrV	173474	173770	+
chrV	176086	177590	-
chrV	186934	188070	-
chrV	191978	192682	+
chrV	192782	194150	-
chrV	194630	195030	-
chrV	203350	204590	-
chrV	241758	242662	-
chrV	268859	269427	+
chrV	270691	271571	+
chrV	273983	278263	-
chrV	284419	287443	+
chrV	309005	309045	+
chrV	335589	335733	+
chrV	363969	364313	-
chrV	377949	378709	+
chrV	401889	402321	-
chrV	489926	491262	+
chrV	504006	504950	+
chrV	509818	510218	-
chrV	522874	522938	-
chrV	526937	527266	-
chrV	540658	541458	-
chrV	548578	549242	-
chrV	554134	556030	+
chrV	559426	561106	-
chrV	562802	563154	-
chrV	562950	564462	+
chrVI	54578	55274	+
chrVI	76575	77791	-
chrVI	78051	79331	+
chrVI	89579	90771	+
chrVI	97536	98008	-
chrVI	103283	103555	-
chrVI	105815	105871	+
chrVI	110191	110559	+
chrVI	131066	131642	-
chrVI	158203	159139	-
chrVI	167876	168428	-
chrVI	213025	213409	-
chrVI	229078	229118	+
chrVI	256470	257414	+
chrVI	262522	263394	-
chrVII	16441	17017	+
chrVII	17213	17709	-
chrVII	27777	29729	+
chrVII	31933	32901	-
chrVII	33109	35013	-
chrVII	63754	64306	+
chrVII	74443	76699	+
chrVII	94482	94667	-
chrVII	94787	97067	-
chrVII	108163	110315	-
chrVII	159329	159689	-
chrVII	165601	166121	-
chrVII	193533	193685	+
chrVII	196561	197905	-
chrVII	210594	213746	-
chrVII	272417	272897	-
chrVII	308800	310032	+
chrVII	320024	320528	+
chrVII	323244	324236	-
chrVII	324168	325232	+
chrVII	354412	355540	-
chrVII	359292	359932	-
chrVII	362088	363896	+
chrVII	388928	389464	+
chrVII	421465	422425	-
chrVII	422133	422941	+
chrVII	428586	428666	-
chrVII	433502	435062	+
chrVII	483386	483930	-
chrVII	483966	484190	+
chrVII	522851	523411	-
chrVII	524903	525087	+
chrVII	543395	544539	-
chrVII	559199	559375	+
chrVII	577195	579291	-
chrVII	591099	591627	-
chrVII	622047	622279	+
chrVII	625231	625567	+
chrVII	627331	627603	-
chrVII	650855	651159	+
chrVII	660087	661399	+
chrVII	676411	677283	-
chrVII	677651	678467	-
chrVII	701507	702163	-
chrVII	713475	714971	-
chrVII	715083	715643	-
chrVII	729966	730550	+
chrVII	731350	733014	+
chrVII	738422	738878	+
chrVII	741714	742098	-
chrVII	751414	752430	+
chrVII	756530	757450	-
chrVII	762810	763042	-
chrVII	776034	777834	-
chrVII	778166	778614	+
chrVII	781386	781514	-
chrVII	784190	786022	+
chrVII	800658	801714	-
chrVII	806502	806606	+
chrVII	831794	832146	-
chrVII	849574	850406	+
chrVII	856678	857030	+
chrVII	865870	866246	+
chrVII	879378	879898	-
chrVII	902542	903486	+
chrVII	904922	905354	-
chrVII	905490	905762	-
chrVII	937144	938288	+
chrVII	942668	944916	-
chrVII	958772	959683	-
chrVII	968789	969165	+
chrVII	969405	970677	+
chrVII	974261	974845	+
chrVII	994309	994949	+
chrVII	999578	1000305	-
chrVII	1012276	1012484	+
chrVII	1021896	1022352	-
chrVII	1049492	1049924	+
chrVII	1059052	1059644	+
chrVII	1060292	1060740	+
chrVIII	10699	11571	+
chrVIII	14567	15887	-
chrVIII	56600	58968	-
chrVIII	59140	60220	+
chrVIII	76165	77301	+
chrVIII	78962	80442	-
chrVIII	96118	96486	+
chrVIII	98366	98934	+
chrVIII	103195	103963	-
chrVIII	105219	105435	-
chrVIII	111391	111655	+
chrVIII	121895	124023	+
chrVIII	131845	132997	-
chrVIII	151001	151369	+
chrVIII	164985	166601	+
chrVIII	189145	190233	+
chrVIII	201633	203529	+
chrVIII	201845	204245	-
chrVIII	221423	222335	+
chrVIII	222967	223751	+
chrVIII	242011	242323	-
chrVIII	249811	250987	-
chrVIII	255947	256171	-
chrVIII	266983	267479	+
chrVIII	272111	272615	+
chrVIII	280067	281243	-
chrVIII	286399	286959	+
chrVIII	289050	290666	-
chrVIII	291094	292782	+
chrVIII	293967	296198	+
chrVIII	314246	314750	+
chrVIII	334478	336054	+
chrVIII	336482	337746	-
chrVIII	354122	354602	-
chrVIII	356282	358130	-
chrVIII	364366	365006	+
chrVIII	372695	373335	+
chrVIII	377983	380079	+
chrVIII	383363	384699	-
chrVIII	385715	386123	-
chrVIII	386731	386979	-
chrVIII	392247	392511	+
chrVIII	406219	406763	-
chrVIII	429448	429712	+
chrVIII	456344	458496	-
chrVIII	465112	465504	-
chrVIII	470344	470768	-
chrVIII	483888	484696	-
chrVIII	490536	491664	-
chrVIII	498628	499044	+
chrVIII	507712	508688	-
chrVIII	511840	512120	-
chrVIII	516596	517260	+
chrVIII	519312	520272	-
chrVIII	522204	522596	+
chrVIII	522896	525464	-
chrX	33537	36529	+
chrX	50113	50665	+
chrX	67810	68930	+
chrX	75558	75798	-
chrX	76762	80083	+
chrX	79383	79991	-
chrX	82991	83231	-
chrX	90151	90519	-
chrX	101007	101671	+
chrX	111479	113846	+
chrX	116626	117090	-
chrX	117090	117666	-
chrX	123804	126468	+
chrX	136807	137031	-
chrX	144359	144943	-
chrX	180491	180803	+
chrX	193745	195185	+
chrX	195069	195349	-
chrX	195349	196022	-
chrX	217604	218892	+
chrX	224496	226320	-
chrX	226320	227088	-
chrX	238264	239120	-
chrX	259761	260993	-
chrX	261117	262429	+
chrX	289653	291069	+
chrX	319305	319801	-
chrX	339817	342265	-
chrX	356081	358049	-
chrX	375045	375765	+
chrX	404065	405145	-
chrX	415142	415390	+
chrX	432218	432762	-
chrX	434706	434962	-
chrX	434926	435118	+
chrX	452115	453435	-
chrX	454763	454939	-
chrX	457935	458647	+
chrX	459447	459839	+
chrX	496979	497219	-
chrX	524115	524579	-
chrX	525971	526667	-
chrX	525991	526279	+
chrX	539555	540531	-
chrX	605936	607424	-
chrX	608996	609500	+
chrX	610936	612088	-
chrX	623060	623332	-
chrX	623192	623536	+
chrX	626844	628722	-
chrX	639042	639762	-
chrX	640810	641802	-
chrX	647122	647282	-
chrX	703402	705458	-
chrX	721938	724210	-
chrXI	6060	7820	-
chrXI	13675	14347	-
chrXI	16541	17133	-
chrXI	18501	19741	-
chrXI	18569	19681	+
chrXI	19681	21145	+
chrXI	19757	21213	-
chrXI	21233	22073	+
chrXI	21253	22197	-
chrXI	22213	24221	-
chrXI	66459	67739	+
chrXI	69681	70441	+
chrXI	88711	92255	+
chrXI	92279	92647	+
chrXI	92647	93359	+
chrXI	115095	115551	+
chrXI	126715	130291	-
chrXI	141261	142823	+
chrXI	143183	144319	+
chrXI	144539	144955	-
chrXI	150899	153083	-
chrXI	151135	152919	+
chrXI	153775	154303	+
chrXI	179099	179459	-
chrXI	195195	195723	+
chrXI	200318	201990	+
chrXI	203906	205434	-
chrXI	230302	231790	+
chrXI	259611	260027	-
chrXI	264227	265971	-
chrXI	270755	272195	-
chrXI	272411	273115	-
chrXI	278283	278907	-
chrXI	299563	302147	-
chrXI	303491	307067	-
chrXI	308747	309859	-
chrXI	315379	316091	-
