SEQ_NAME	START	END	STRAND	NAME
chrI	335	649	+	YAL069W
chrI	538	792	+	YAL068W-A
chrI	1807	2169	-	YAL068C
chrI	2480	2707	+	YAL067W-A
chrI	7013	9049	-	YAL067C
chrI	10091	10399	+	YAL066W
chrI	11565	11951	-	YAL065C
chrI	12046	12426	+	YAL064W-B
chrI	13363	13743	-	YAL064C-A
chrI	21566	21850	+	YAL064W
chrI	22395	22685	-	YAL063C-A
chrI	24000	27968	-	YAL063C
chrI	31529	33015	+	YAL062W
chrI	33359	34917	+	YAL061W
chrI	35107	36387	+	YAL060W
chrI	36496	36918	-	YAL059C-A
chrI	36525	37344	+	YAL059W
chrI	37415	39163	+	YAL058W
chrI	38696	39046	-	YAL056C-A
chrI	39208	41999	+	YAL056W
chrI	42170	42838	+	YAL055W
chrI	42718	45073	-	YAL054C
chrI	45759	48322	+	YAL053W
chrI	48534	51787	+	YAL051W
chrI	51719	52661	-	YAL049C
chrI	52801	54789	-	YAL048C
chrI	54262	55063	+	YAL047W-A
chrI	54934	56886	-	YAL047C
chrI	56907	57415	-	YAL046C
chrI	57488	57796	-	YAL045C
chrI	57517	57961	+	YAL044W-A
chrI	57868	58471	-	YAL044C
chrI	58619	61074	-	YAL043C
chrI	61231	61608	-	YAL042C-A
chrI	61300	62654	+	YAL042W
chrI	62776	65463	+	YAL041W
chrI	65601	67848	-	YAL040C
chrI	68647	69581	-	YAL039C
chrI	71759	73452	+	YAL038W
chrI	72326	73300	-	YAL037C-B
chrI	73371	73710	-	YAL037C-A
chrI	73839	74916	+	YAL037W
chrI	75014	76184	-	YAL036C
chrI	76401	79561	+	YAL035W
chrI	79489	79842	-	YAL034C-B
chrI	79689	80675	+	YAL034W-A
chrI	80610	82018	-	YAL034C
chrI	82701	83299	+	YAL033W
chrI	83210	84494	-	YAL032C
chrI	84669	84977	+	YAL031W-A
chrI	84584	87078	-	YAL031C
chrI	87264	87862	+	YAL030W
chrI	87794	92522	-	YAL029C
chrI	92849	94529	+	YAL028W
chrI	94607	95573	+	YAL027W
chrI	95386	95823	-	YAL026C-A
chrI	95490	99783	-	YAL026C
chrI	99305	99868	+	HRA1
chrI	100022	101168	-	YAL025C
chrI	101565	105872	-	YAL024C
chrI	106157	108639	-	YAL023C
chrI	108835	110446	-	YAL022C
chrI	110616	113403	-	YAL021C
chrI	113537	114637	-	YAL020C
chrI	114250	114819	+	YAL019W-A
chrI	114809	118363	+	YAL019W
chrI	118426	119591	-	YAL018C
chrI	120225	124295	+	YAL017W
chrI	124307	124492	-	YAL016C-B
chrI	124755	125069	-	YAL016C-A
chrI	124782	126854	+	YAL016W
chrI	126896	128102	-	YAL015C
chrI	128118	129072	-	YAL014C
chrI	129236	130588	+	YAL013W
chrI	130744	132082	+	YAL012W
chrI	132195	134173	+	YAL011W
chrI	134083	135688	-	YAL010C
chrI	135854	136756	+	YAL009W
chrI	136866	137637	+	YAL008W
chrI	137552	138414	-	YAL007C
chrI	139357	141493	-	YAL005C
chrI	140760	141407	+	YAL004W
chrI	142153	143223	+	YAL003W
chrI	142366	142619	+	snR18
chrI	143612	147587	+	YAL002W
chrI	147594	151166	-	YAL001C
chrI	152215	153970	+	YAR002W
chrI	153989	154740	-	YAR002C-A
chrI	154920	156763	+	YAR003W
chrI	156681	158682	-	YAR007C
chrI	158864	159890	+	YAR008W
chrI	160597	164187	-	YAR009C
chrI	164544	165866	-	YAR010C
chrI	166564	169021	-	YAR014C
chrI	169286	170390	+	YAR015W
chrI	170332	171711	-	YAR018C
chrI	172126	175135	-	YAR019C
chrI	174998	175330	+	YAR019W-A
chrI	176856	177023	-	YAR020C
chrI	179251	180051	-	YAR023C
chrI	183671	184560	+	YAR027W
chrI	184836	185794	+	YAR028W
chrI	185918	186809	+	YAR029W
chrI	186512	186853	-	YAR030C
chrI	186836	187732	+	YAR031W
chrI	188047	188904	+	YAR033W
chrI	190149	192360	+	YAR035W
chrI	192337	192417	-	YAR035C-A
chrI	192583	196349	+	YAR042W
chrI	201467	201787	-	YAR047C
chrI	203403	208016	+	YAR050W
chrI	208193	208638	+	YAR053W
chrI	217157	217492	-	YAR060C
chrI	218140	218343	+	YAR061W
chrI	218549	219145	+	YAR062W
chrI	220198	220497	+	YAR064W
chrI	221049	221660	+	YAR066W
chrI	222406	222891	+	YAR068W
chrI	224011	224304	-	YAR069C
chrI	224563	224862	-	YAR070C
chrI	225460	226863	+	YAR071W
chrI	227742	228953	+	YAR073W
chrI	228844	229317	+	YAR075W
chrII	280	2658	-	YBL113C
chrII	646	1128	+	YBL113W-A
chrII	2582	2899	-	YBL112C
chrII	2907	5009	-	YBL111C
chrII	5790	6125	+	YBL109W
chrII	7605	7733	-	YBL108C-A
chrII	8177	8482	+	YBL108W
chrII	9268	9372	+	YBL107W-A
chrII	9835	10551	-	YBL107C
chrII	10639	13917	-	YBL106C
chrII	14104	17962	-	YBL105C
chrII	18152	21297	-	YBL104C
chrII	21737	23802	-	YBL103C
chrII	24010	24938	+	YBL102W
chrII	24781	28406	-	YBL101C
chrII	28372	28686	+	YBL100W-C
chrII	29935	35248	+	YBL100W-B
chrII	29935	31251	+	YBL100W-A
chrII	36989	37303	-	YBL100C
chrII	36733	38922	+	YBL099W
chrII	39145	40527	+	YBL098W
chrII	40773	43265	+	YBL097W
chrII	43174	43482	-	YBL096C
chrII	43261	44207	+	YBL095W
chrII	43765	44097	-	YBL094C
chrII	44106	44998	-	YBL093C
chrII	45613	46517	+	YBL092W
chrII	46433	47186	-	YBL091C-A
chrII	47263	48650	-	YBL091C
chrII	48818	49481	+	YBL090W
chrII	49510	51016	+	YBL089W
chrII	51019	59382	-	YBL088C
chrII	59717	60762	-	YBL087C
chrII	61155	62662	-	YBL086C
chrII	63674	66934	+	YBL085W
chrII	67169	69445	-	YBL084C
chrII	69697	70141	-	YBL083C
chrII	69697	71173	-	YBL082C
chrII	71552	73109	+	YBL081W
chrII	72965	74711	-	YBL080C
chrII	75259	79767	+	YBL079W
chrII	80214	80775	-	YBL078C
chrII	80897	81328	+	YBL077W
chrII	80947	84277	-	YBL076C
chrII	84418	86472	-	YBL075C
chrII	86427	87800	-	YBL074C
chrII	87646	87957	+	YBL073W
chrII	88035	88380	+	snR56
chrII	88412	89142	-	YBL072C
chrII	89458	89556	-	YBL071C-B
chrII	89943	90472	+	YBL071W-A
chrII	89856	90503	-	YBL071C
chrII	90605	90925	-	YBL070C
chrII	90641	92111	+	YBL069W
chrII	91637	92106	+	YBL068W-A
chrII	92382	93483	+	YBL068W
chrII	93479	95912	-	YBL067C
chrII	96342	100154	-	YBL066C
chrII	99963	100307	+	YBL065W
chrII	100299	101188	-	YBL064C
