SEQ_NAME	START	END	STRAND
chrI	10732	11140	-
chrI	30072	30904	+
chrI	30532	30892	-
chrI	34380	34748	-
chrI	35796	36348	-
chrI	67850	67962	-
chrI	138605	138829	+
chrI	143437	143597	+
chrI	151617	152033	-
chrI	170500	172449	+
chrI	180257	180513	+
chrI	199986	200426	-
chrII	42576	43104	-
chrII	96352	96568	+
chrII	146720	146968	-
chrII	191988	192340	+
chrII	237742	237926	+
chrII	254874	255058	+
chrII	278428	280876	-
chrII	296288	296576	+
chrII	299292	299884	-
chrII	306288	306696	+
chrII	306696	307104	+
chrII	306988	307108	-
chrII	310633	310953	+
chrII	324513	325361	+
chrII	326297	326777	+
chrII	339602	339946	+
chrII	340774	340894	-
chrII	340894	341486	-
chrII	341018	342578	+
chrII	351878	352054	-
chrII	360618	360970	+
chrII	365898	366657	+
chrII	366605	366933	-
chrII	370073	370545	+
chrII	376378	376834	+
chrII	379154	379450	+
chrII	381378	381642	+
chrII	406105	406457	-
chrII	407905	408489	-
chrII	423517	423749	+
chrII	429669	431781	+
chrII	483734	484030	+
chrII	493094	493686	+
chrII	535770	536258	-
chrII	539346	539674	-
chrII	549130	549538	-
chrII	571445	572005	+
chrII	576349	576773	+
chrII	614429	614885	+
chrII	625308	625693	+
chrII	655429	655781	+
chrII	662893	663181	+
chrII	682213	682533	+
chrII	698445	698773	+
chrII	704145	704273	-
chrII	707029	707317	+
chrII	714685	715477	+
chrII	720649	721185	-
chrII	734829	736189	+
chrII	785052	785372	+
chrIII	27389	27581	-
chrIII	28613	29109	-
chrIII	29909	30405	-
chrIII	30845	31189	-
chrIII	39049	39425	+
chrIII	68881	69425	+
chrIII	105794	106258	+
chrIII	119144	119376	-
chrIII	120476	121084	+
chrIII	130072	130456	-
chrIII	131828	132244	+
chrIII	139308	139988	+
chrIII	147784	148080	-
chrIII	155916	156046	+
chrIII	163926	164318	+
chrIII	178258	178482	-
chrIII	179038	179414	+
chrIII	238018	238706	-
chrIV	21869	22453	-
chrIV	31717	32045	-
chrIV	57032	57336	+
chrIV	65044	65948	-
chrIV	73600	74784	+
chrIV	89524	89844	-
chrIV	98860	99316	-
chrIV	115164	116100	-
chrIV	132316	132644	-
chrIV	134340	134732	-
chrIV	138364	139348	-
chrIV	163432	163752	+
chrIV	187684	187852	-
chrIV	192400	192568	+
chrIV	194148	194396	-
chrIV	215380	215796	-
chrIV	215796	216588	-
chrIV	247781	248021	-
chrIV	292261	292573	-
chrIV	300161	300545	+
chrIV	303837	304845	-
chrIV	309525	309717	-
chrIV	310457	311153	+
chrIV	329585	329697	+
chrIV	340245	340405	-
chrIV	345077	345445	-
chrIV	352269	352621	-
chrIV	356909	357141	-
chrIV	368261	368429	-
chrIV	407408	407592	-
chrIV	413572	413948	+
chrIV	413840	414800	-
chrIV	417276	417636	+
chrIV	421940	422532	+
chrIV	423724	424100	+
chrIV	428464	428728	-
chrIV	442628	442844	+
chrIV	453828	454068	+
chrIV	470536	470776	-
chrIV	482605	483813	+
chrIV	486117	486405	+
chrIV	501677	502365	+
chrIV	505378	506538	-
chrIV	542549	543245	+
chrIV	547665	547801	-
chrIV	555409	555649	-
chrIV	556513	556673	-
chrIV	562513	562857	-
chrIV	563197	563461	+
chrIV	578425	578985	-
chrIV	587973	588661	+
chrIV	598426	598882	-
chrIV	602938	603242	-
chrIV	620811	621067	-
chrIV	629443	630691	-
chrIV	687251	687859	-
chrIV	690227	690483	-
chrIV	703363	703835	-
chrIV	703835	704187	-
chrIV	715647	716191	+
chrIV	727863	728159	+
chrIV	750915	751347	-
chrIV	768107	768371	-
chrIV	769699	770203	-
chrIV	781235	781355	-
chrIV	784267	784435	-
chrIV	784435	784643	-
chrIV	791959	792111	+
chrIV	794487	795255	+
chrIV	795255	796071	+
chrIV	831564	831756	-
chrIV	892028	892444	-
chrIV	915313	915433	+
chrIV	963281	963409	+
chrIV	974585	975017	+
